OBV3DaySlope,OBV4DaySlope,OBV5DaySlope,OBV10DaySlope,AD3DaySlope,AD4DaySlope,AD5DaySlope,AD10DaySlope,SlowStochastic,SlowSto1DaySlope,SlowStoSlope,VIXClose,VIX1DaySlope,VIX1DayPercentSlope,VIXSlowStochastic,VIXSlowSto1DaySlope,BuySell
-128905000,-1197589000,-616310000,-66040096.97,-1977346815,-1610591374,-778621660.5,50816126.19,42.50333948,4.905698998,1.440869728,11.28,-0.95,-7.767784137,28.90994918,-11.25592284,1
2633240000,984845000,-98861000,-72492006.06,-1067584318,-1382418732,-1336224466,3180925.291,43.93407006,1.430730582,-2.456564474,11.32,0.04,0.354609929,29.38388277,0.473933593,1
2707640000,2668988000,1558142000,58006115.15,1035646817,-36668720.45,-590196862.7,-4889668.661,46.41099069,2.47692063,0.912667849,11.7,0.38,3.356890459,33.88625191,4.502369135,1
2685620000,2688440000,2669072000,283303975.8,1875611996,1350002781,530340434.9,89338654.96,57.37705462,10.96606393,4.346647949,11.22,-0.48,-4.102564103,28.19904879,-5.687203118,1
2990885000,2879171000,2816534000,415624357.6,1647598602,1760434067,1448420567,182832741.9,75.38397054,18.00691593,7.920424669,10.59,-0.63,-5.614973262,20.7345947,-7.464454092,1
3029420000,2942561000,2884193000,432160418.2,529341946.7,1000617180,1291501298,178037933.5,81.6597673,6.275796753,10.44243743,10.13,-0.46,-4.343720491,15.28435838,-5.450236321,1
-389765000,1041647000,1646332000,363741678.8,-428112651.1,154547947.7,593662769.8,124916619,55.08703691,-26.57273039,4.163480511,12.23,2.1,20.73050346,40.16587202,24.88151364,1
-57925000,429438000,1110645000,273408927.3,168458773.2,-78357636.59,193497757.8,99499712.2,65.5466928,10.45965589,-0.395765728,11.63,-0.6,-4.905968929,33.05686812,-7.109003897,1
10240000,-703493000,-163395000,143005830.3,621749180.6,329306572.9,111146366.5,122178422.5,64.9482966,-0.5983962,-3.698442239,11.55,-0.08,-0.687876182,32.10900093,-0.947867186,1
-3328210000,-1319996000,-1352406000,-74634230.3,-522024388.8,-44046597.73,-17076410.09,126891054.1,59.95623315,-4.992063454,-3.354580861,12.12,0.57,4.935064935,38.86255464,6.753553702,1
