OBV3DaySlope,OBV4DaySlope,OBV10DaySlope,AD3DaySlope,AD4DaySlope,SlowStochastic,SlowSto1DaySlope,SlowSto5DaySlope,14DayRSI,14DayRSI1DaySlope,VIXClose,VIX1DaySlope,VIX10DaySlope,VIXSlowStochastic,BuySell
-4720775000,-1806650000,-177253509.1,-3237246354,-896374133.1,63.71839375,-9.904831809,-6.424338673,44.97930774,-3.916686734,45.84,3.02,0.307090782,20.08968296,-1
421205000,-1634732000,-318566048.5,-443817600.3,-1694100656,64.47270442,0.75431067,-5.383330163,45.33840795,0.35910021,43.27,-2.57,0.539757521,14.32735138,-1
79790000,-812895000,-443986272.7,-847548020,-1111830049,50.09120793,-14.38149649,-7.532416366,39.98070568,-5.357702273,49.139999,5.869999,0.948909012,27.48878352,-1
-597900000,2143927000,9546430.303,-2107654479,480593068.1,16.38121603,-30.61988225,0.996060637,43.78221984,-9.579495462,46.669998,3.029999,0.352908848,45.30308444,-1
-421855000,742181000,376829181.8,-1463066064,-1039010799,21.09638447,4.715168446,-4.705122225,45.4074854,1.625265561,44.529999,-2.139999,0.129211873,37.35350586,-1
6201460000,2282471000,646546606.1,4465226429,1283101117,22.13544726,1.039062791,-7.378716005,45.77948591,0.37200051,41.25,-3.279999,-0.134424364,21.33788574,-1
589905000,2779527000,666804303,1128557387,2088374820,16.15194621,-5.983501052,-5.594407289,43.92337304,-1.85611287,42.93,1.68,-0.142363685,29.54101074,-1
-5602235000,-1948068000,399508357.6,-4995091288,-1503447825,0,-16.15194621,-3.770687032,36.69506339,-7.228309648,48.66,5.73,0.230727297,57.51952637,-1
-5824265000,-5674336000,-111772224.2,-2910145265,-3561577931,4.889236832,4.889236832,-5.454974254,36.56603989,-0.129023498,48.459999,-0.200001,0.390848594,56.54295898,-1
-5743825000,-5792712000,-701094509.1,-2295568688,-3140934266,1.144930828,-3.744306004,-5.324374225,34.89585005,-1.670189848,47.080002,-1.379997,0.462909273,49.80469238,-1
-6978765000,-6484166000,-1125277945,-1136640991,-1123592438,8.333328059,7.188397231,-1.449230548,33.35714139,-1.538708659,49.299999,2.219997,0.608909267,60.64452148,-1
-7359945000,-6961108000,-1326116388,-1875828070,-2288558410,0.476485056,-7.856843003,0.439706134,29.19086732,-4.16627407,52.619999,3.32,0.844484964,76.85545898,-1
362595000,-2896550000,-1196513576,-13252037.53,97960136.53,15.27199866,14.7955136,2.009707789,38.43014072,9.239273405,45.490002,-7.129997,0.597030521,42.04102051,-1
-124575000,-1304086000,-917735842.4,2624170088,340443443.8,11.18226679,-4.089731873,2.701334252,36.9932603,-1.436880418,44.669998,-0.820004,0.484424242,38.03709473,-1
-7541805000,-3103100000,-656369848.5,-3944440738,-615723039.2,5.1915937,-5.990673088,0.442231301,34.93287497,-2.060385329,44.66,-0.009998,0.252848442,37.98827637,-1
-8263225000,-7963024000,-439194793.9,-7662811848,-5563014607,0.272300731,-4.919292969,-1.048877361,32.10279195,-2.830083027,46.349998,1.689998,-0.106788018,46.24021973,-1
-8397385000,-8211070000,-366186060.6,-7798587807,-7613051998,0.458732404,0.186431674,-4.053649857,27.47249703,-4.630294913,52.650002,6.300004,-0.072606055,76.47353264,-1
-7725760000,-8100229000,-245888448.5,-5853002566,-6735306896,1.602078788,1.143346384,-2.389323729,26.92456061,-0.547936426,50.93,-1.720002,0.131939412,67.88211449,-1
45195000,-3091693000,-87552115.15,-1759839165,-3682151340,8.747609994,7.145531205,0.844181065,32.2826074,5.358046795,47.560001,-3.369999,0.1118182,49.1437494,-1
83185000,-1457696000,25366406.06,-2156421494,-2531374428,1.974356838,-6.773253156,1.16929898,28.20061084,-4.081996569,50.169998,2.609997,0.152969727,62.68810261,-1
-478410000,1367456000,98245284.85,1107378407,2472935981,99.47847145,11.33717314,-1.028039489,68.17977563,4.044756052,32.049999,-1.39,-0.705091061,5.231131387,-1
1006340000,-1315898000,159031224.2,884047084.2,-292606298.4,88.38770852,-11.09076293,-1.920593819,61.35883651,-6.820939122,32.869999,0.82,-0.599697188,10.21896594,-1
-6511175000,-2072781000,15890593.94,-1994979255,467283457.2,86.73797408,-1.64973444,-2.554778572,61.06591154,-0.29292497,31.799999,-1.07,-0.511272933,3.710450122,-1
60710000,830469000,-712663600,-809294419.9,-250379214.7,91.23650059,1.27973261,0.106179004,62.02992147,1.629543181,28.110001,-0.349998,-0.178545448,11.22449627,-1
5014480000,1944946000,-619607818.2,1347377991,674208049,92.25659902,1.020098437,0.32685094,62.41297764,0.383056172,28.15,0.039999,-0.278969703,11.51603415,-1
-84880000,2052136000,-478119866.7,715435066.9,347378732.4,74.87633826,-17.38026077,-3.311486371,52.6644806,-9.748497036,30.809999,2.659999,-0.150303036,30.90378055,-1
-4824540000,-2006076000,-195105236.4,-3874235460,-1291145160,63.35484292,-11.52149534,-6.956401245,48.41014943,-4.254331175,32.68,1.870001,0.043696909,46.74828208,-1
-207905000,-1526565000,452466993.9,1264154892,1688421437,52.24481368,-10.23415093,2.956697153,51.85541093,-3.304727255,26.35,1,-0.640787964,13.92670157,-1
-5800000,-999811000,-166512236.4,-3038915814,-2380443811,22.61610296,-34.81697718,-6.321653371,43.43754465,-9.942743919,27.950001,1.730002,-0.4102424,32.24157295,-1
154955000,2267490000,-517003733.3,2585089517,2506614144,90.64435455,-5.811106677,0.831322746,63.34704594,-5.221780585,24.27,-0.439999,-0.054121127,12.63681718,-1
50000,2102636000,366056181.8,1260038150,1483466045,93.80551324,-2.175000758,0.16926125,66.29927384,-1.343270483,24.76,0.08,-0.276363558,17.51243955,-1
-5395170000,-2079916000,147212551.5,-505990474.6,788094340.3,88.92155158,-4.883961656,-1.105636122,61.01000991,-5.289263937,26.01,1.25,-0.087757552,29.95025174,-1
-142665000,-945523000,-455054000,-1520382365,-44217797.59,81.48643518,-15.58293335,-1.680517458,63.82707196,-7.275826316,23.49,0.41,-0.033757588,17.61516499,-1
-611475000,-1346317000,-831367418.2,149961982.5,-264859524.9,80.7752496,-2.331753909,1.058072735,60.29437087,-1.307822797,25.190001,0.310002,0.203878812,40.65041201,-1
-388845000,-1239805000,-385939230.3,967593537.4,796099927.1,91.5804262,-6.330841385,-1.665510696,62.72929988,-3.798885425,20.9,-0.59,-0.395757618,0,-1
-5506610000,-2457887000,-653915036.4,-3215763896,-1117116606,81.75339753,-9.827028671,-3.642248567,57.72345664,-5.005843234,22.219999,1.319999,-0.282424352,22.38647307,-1
212475000,-1038161000,-662216903,604411557.8,-814171605.5,80.10786524,-12.16752564,-3.491184001,55.25835016,-6.392006294,22.27,1.579999,-0.171878788,22.91446674,-1
-16950000,688517000,-228730787.9,1260270890,1031417842,99.67025764,21.23917246,2.489277319,62.39597119,6.289293407,17.58,-0.33,-0.193757552,7.938247843,-1
-42865000,-980855000,-441936078.8,2147572329,1128059563,81.39721293,-18.27304471,-2.230751882,55.09745786,-7.298513325,18.68,1.1,-0.096605988,20.06614334,-1
-5842425000,-2569062000,-685921175.8,-3159575427,-549584421.6,49.07811294,-32.31909999,-9.302772373,45.05851929,-10.03893858,22.27,3.59,0.191818303,59.64718408,-1
-6541470000,-6055479000,-845375593.9,-5732285968,-4128904103,12.02222259,-37.05589035,-18.34098699,36.78314303,-8.27537626,27.309999,5.039999,0.710787927,93.72196356,-1
-160850000,2246830000,-450818321.2,473207412.5,2338706724,92.49685635,-7.503143648,0.178816069,66.35787226,-4.451686948,17.469999,0.849998,0.083696855,50.11182324,-1
-6551150000,-2897648000,-499439387.9,-5393580158,-2076294612,65.03579201,-27.46106434,-6.044104174,48.54712651,-17.81074576,22.809999,5.34,0.395878673,95.10662546,-1
-556115000,-2773451000,-532380945.5,-1800242108,-3034790332,72.42577093,7.389978915,-8.108894547,52.27118577,3.724059264,21.08,-1.729999,0.492908988,73.40024173,-1
6200860000,2118385000,-383791060.6,3459803682,434330759.5,86.24840244,13.82263151,-4.757428055,58.7518423,6.480656526,18.440001,-2.639999,0.399393903,40.27604263,-1
5575000,2511979000,-262109260.6,-864573602,734622760,61.00106213,-25.2473403,-4.177897802,49.35011885,-9.401723444,22.049999,3.609998,0.63654543,85.57086756,-1
-555105000,879934000,-125528709.1,-1308159290,-135295006.6,79.34036062,18.33929849,1.718442841,55.31790063,5.967781779,20.190001,-1.859998,0.659515206,62.2333799,-1
-828335000,-1817674000,-143205266.7,-454605250.8,-1702739737,42.82880922,-36.5115514,-6.610196523,44.84397565,-10.47392498,23.84,3.649999,0.739697036,82.23494917,-1
-6695330000,-3195255000,-343600042.4,-2517824137,-956534519.9,33.2631919,-9.56561732,-12.4142674,42.50630394,-2.33767171,24.91,1.07,0.819272806,80.66666667,-1
-8706875000,-7882135000,-504452503,745412245.9,-883240592.9,40.49086485,7.227672947,-8.709756329,33.36599128,-9.140312664,32.799999,7.889999,1.235090879,68.95604274,-1
177410000,-1123773000,-345440563.6,181126284.4,50507838.59,59.50905529,-9.239726041,6.82163036,45.88741659,-3.415297026,26.68,1.16,0.735272752,42.53342923,-1
-5498520000,-2218538000,-108807072.7,-3252940797,-1014261835,45.38017691,-14.12887838,-3.016034477,41.18879938,-4.698617207,31.24,4.56,0.586848442,59.47250673,-1
-123960000,-1320004000,537691993.9,-504714831.4,-636442614.1,35.71846401,-10.47976817,-7.937145774,38.21701006,-3.344895244,33.549999,2.709999,0.037636321,68.05348306,-1
-6468320000,-2721200000,584614703,-1638489796,-334215935.3,31.98494046,-3.733523555,-6.470994256,37.07231788,-1.144692182,35.32,1.770001,-0.055757606,74.62852343,-1
20500000,1835164000,249957915.2,-1257509726,230283506.3,42.4501361,-0.410981332,0.334521652,52.18485998,-1.338306595,24.879999,0.929998,-1.131878897,22.93456048,-1
60735000,-1455016000,-64176703.03,2881190729,2937217518,97.14100665,5.11138933,0.753007021,61.06884068,1.993366078,22.139999,0.399999,-0.2449698,4.808865302,-1
0,-759431000,60772709.09,1728678952,2247116195,91.54760604,-5.593400605,-0.862689611,57.753679,-3.315161673,22.370001,0.230002,-0.241212067,6.226880011,-1
-4245610000,-1751494000,46071909.09,-1677809040,-142144019.6,65.29254773,-26.25505831,-6.088773914,45.31781992,-12.43585908,25.389999,3.019998,0.007878824,24.84585543,-1
-283140000,1393005000,329188551.5,-795373101.3,-165965593.3,54.69451762,-15.6596183,0.828243791,41.84293019,-6.784069602,26.440001,1.850001,0.435697055,31.31935689,-1
-4026055000,-1727409000,352771975.8,-550002687.7,-340741907.3,51.36479276,-3.329724866,-2.728822561,40.54757298,-1.295357204,25.49,-0.950001,0.30484857,25.46238437,-1
-3486260000,-3755075000,295471454.5,-927257798.8,-1132838783,47.70557246,-3.659220297,-6.154837365,39.11449421,-1.433078775,25.66,0.17,0.164484867,26.51047309,-1
850115000,2782456000,233277690.9,3025815878,3855301811,96.59407944,-2.312118393,-0.213406255,76.45053059,-2.35199366,18.290001,0.030001,-0.312121067,5.891253776,-1
-4392635000,-1338066000,223891084.8,12248767.35,1331518556,87.35680389,-9.237275555,-2.779555146,68.15159219,-8.298938393,19.08,0.789999,-0.360242321,18.68460389,-1
-143370000,-1751995000,72368218.18,1051933187,1124929897,92.00190842,4.645104534,-2.719341059,70.03970117,1.888108977,18.469999,-0.610001,-0.395151521,9.566502242,-1
315090000,-809228000,-144437593.9,3548497554,1853064446,87.01704116,-4.984867262,-2.837048437,65.940752,-4.09894917,18.639999,0.17,-0.382303145,12.10760837,-1
-4072370000,-1468144000,-421926812.1,490135793.3,1910974986,73.27642422,-13.74061694,-4.697507317,56.13441726,-9.806334738,20.610001,1.970002,-0.213515133,41.55457399,-1
2682735000,1358015000,60945418.18,1889491994,785724270.3,84.0961809,27.35222941,-0.174547827,58.42610983,9.184201598,18.6,-2.100001,0.215697055,44.73684746,-1
58365000,776566000,62530715.15,1728174111,1416744894,72.17442832,-11.92175258,1.324471506,53.85235502,-4.573754807,19.059999,0.459999,-0.004121158,50.2392285,-1
-4094235000,-1576774000,12213848.48,-1111245037,432742568.7,58.5541754,-13.62025292,2.417411304,49.19788513,-4.65446989,20.66,1.600001,-0.177272636,69.37799873,-1
283345000,-1493588000,-1490460.606,370071784.2,-62791061.13,70.11415091,11.55997551,0.119839337,53.76317338,4.565288249,19.82,-0.84,-0.156181758,59.33015064,-1
410950000,-489707000,-99936460.61,2097967415,950881915.3,66.96889556,-3.145255351,-3.631484807,52.97381419,-0.789359191,20.219999,0.399999,-0.012727309,64.11482824,-1
-4216270000,-1541288000,-243449418.2,-1390775518,115069776.4,32.75648395,-34.21241161,-7.042116858,43.4630692,-9.510744986,21.879999,1.66,0.190424176,83.97128995,-1
-154985000,-1135857000,-350914515.2,1653023653,-118582374.2,34.51452697,-10.83645232,-9.281716415,44.48109213,-2.738675684,21.129999,1.049999,0.095636236,74.99999701,-1
109070000,-667868000,-184191315.2,427030866.4,-133716813.9,88.88660551,-2.136425174,0.512523814,60.10172401,-1.259635374,17.110001,0.210001,-0.184848455,11.76837411,-1
-3794205000,-1409961000,-285668254.5,-385509313.1,-83730024.52,83.2667657,-5.619839811,-0.896643468,56.79871815,-3.303005857,17.870001,0.76,-0.16303023,16.50062786,-1
-3530890000,-3678495000,-370161497,-1465980669,-848047307.7,79.36223294,-3.904532753,-2.495275595,54.55540444,-2.243313711,16.59,-1.280001,-0.108545339,6.670901736,-1
-3877230000,-3749078000,-540863490.9,-1349724679,-1365877623,68.52247482,-10.83975812,-5.452548428,48.79370646,-5.761697985,17.09,0.5,-0.077575655,9.847521611,-1
-212315000,-1598629000,-571996151.5,-813183027.4,-1081400338,68.78557761,0.26310279,-5.494634666,48.93467731,0.140970856,16.92,-0.17,-0.072909067,8.767470853,-1
227575000,1543537000,446012903,340718536,872445917.2,26.15985331,-40.39259354,1.010828347,42.62550991,-13.19056196,18.299999,2.849999,0.021818127,69.96524827,-1
-4001630000,-1416215000,272107454.5,-1668160951,6495136.506,24.0379399,-2.121913408,-5.541634717,42.06314735,-0.562362555,18.09,-0.209999,0.052242382,66.31943293,-1
-3633600000,-3828704000,97931345.45,-886582561.2,-1668542313,7.195680865,-16.84225904,-12.40641642,37.80030315,-4.262844199,17.950001,-0.139999,0.005151539,63.88889516,-1
-3736745000,-1380624000,121590648.5,-1352372791,-33824909.31,62.41237962,-24.70282553,-2.966847281,52.62867792,-9.85457546,18.389999,2.439999,-0.297090915,34.31268625,-1
